number,duration,params_C,params_Kmin,params_alpha,params_n_iterations
0,0 days 00:00:05.692058,9.48134977405505,34,0.4501821912056916,21
1,0 days 00:00:47.116561,767.9946081942826,40,0.22050957248487624,204
2,0 days 00:00:39.767043,4625.032932437545,38,0.8007461077936758,230
3,0 days 00:00:33.643805,50.305586403748926,22,0.3962006038323159,144
4,0 days 00:00:01.759968,0.021175244130802805,21,0.2971155546002744,10
5,0 days 00:00:05.213890,0.00040091281005316356,29,0.39505920480157963,111
6,0 days 00:00:06.817491,0.4186378333983164,27,0.5305182682796129,46
7,0 days 00:00:09.025115,3.505816825467777,38,0.7953019116489807,34
8,0 days 00:00:10.216223,0.0014129753847062225,15,0.6634087768946684,230
9,0 days 00:00:08.766153,0.04200458261072876,35,0.7508231427797124,43
10,0 days 00:00:03.242837,9112.982600558536,16,0.65138851432416,12
11,0 days 00:01:23.334606,6344.739466561804,28,0.4176015737254861,362
12,0 days 00:00:13.030576,130.69115431094366,17,0.5797846502774615,53
13,0 days 00:00:24.669409,3.3694354780744047,25,0.10541124959200224,107
14,0 days 00:00:32.849590,8642.745596340523,35,0.8670414097222933,220
15,0 days 00:01:16.799113,130.15721703848484,30,0.4003239481335509,333
16,0 days 00:00:01.997274,0.00026976740926345073,43,0.4613187266086872,44
17,0 days 00:00:07.259802,19.60457321412583,49,0.8090087815435115,31
18,0 days 00:00:01.754070,0.004559260074733444,11,0.10930565732251739,36
19,0 days 00:01:22.175997,33.123001251108,29,0.8924598652162653,462
20,0 days 00:01:31.389373,4.668283281902054,32,0.5252426125153105,408
21,0 days 00:00:06.307581,0.0015800459895674477,40,0.6968507273093734,158
22,0 days 00:00:15.172008,1172.807911945418,12,0.4233618506942557,64
23,0 days 00:00:15.613581,1.681876957912291,46,0.8611430110028746,92
24,0 days 00:00:16.901400,1.9725387492289388,30,0.7553616536513267,71
25,0 days 00:00:32.487541,137.06703774863087,26,0.6664922895820831,137
26,0 days 00:00:14.240720,0.0018682744853046772,10,0.8547061452100092,361
27,0 days 00:00:03.050981,5.638296898603116,29,0.19125255899413,11
28,0 days 00:00:03.086292,0.45971978103878286,38,0.8363220568744703,21
29,0 days 00:00:06.276130,0.06082335092709899,48,0.246070985264247,26
30,0 days 00:00:04.108687,428.01158513110823,22,0.6942766958480349,16
31,0 days 00:00:49.486087,6.21209723385412,31,0.3329001959182999,210
32,0 days 00:00:03.678362,0.007476400394056948,49,0.5579878632625492,51
33,0 days 00:00:02.833888,0.03850866929154249,47,0.5723854435703889,12
34,0 days 00:00:27.086980,0.6627854052558552,27,0.8794736631752323,113
35,0 days 00:00:19.709045,0.00272887068392748,30,0.3540374584217567,489
36,0 days 00:00:01.816516,1603.9431430191712,11,0.8817931447380697,10
37,0 days 00:00:21.330853,17.12253616495203,13,0.39484614568012155,92
38,0 days 00:00:05.218654,630.1446035289484,23,0.8683666346937128,21
39,0 days 00:00:07.753270,0.01109752907355043,29,0.18664919534618304,136
40,0 days 00:00:02.534426,0.00013003746752774883,17,0.3713082412399219,43
41,0 days 00:00:29.088413,9495.92229864315,40,0.5139698260424334,128
42,0 days 00:00:00.550148,0.00022991414014310403,18,0.6016643551066759,12
