model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.342853
1,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.274179
2,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.092241
3,0.701907823914875,0.5704452542350744,0.8455284552845529,0.44039735099337746,0.2458628841607565,0.7222222222222222,0.6086956521739131,0.0,0.0,0.5,0.33333333333333326,0 days 00:00:00.064172
4,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:02.450951
5,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.068208
6,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.121545
7,0.6970469877206653,0.5934916343403471,0.7804054054054054,0.5745033112582781,0.5460992907801419,0.2722222222222222,0.1912199240185733,0.44999999999999996,0.41747572815533984,0.5213815789473684,0.5242718446601942,0 days 00:00:00.230367
8,0.6991432464936993,0.7165406266734584,0.8774193548387097,0.6870860927152318,0.6430260047281324,0.32507739938080493,0.23139534883720936,0.4117647058823529,0.35,0.6354651162790698,0.5,0 days 00:00:00.220965
9,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.089038
10,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.053083
11,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.165045
12,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.418981
13,0.10643253973199335,0.5865626999986939,0.7473233404710921,0.6821192052980133,0.8250591016548463,0.5,0.5833333333333333,0.5,0.41666666666666674,0.44999999999999996,0.4782608695652174,0 days 00:00:00.073420
14,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.826697
15,1.4464966353733633e-31,0.5829774172903361,0.742914979757085,0.6970198675496688,0.8676122931442081,0.26249999999999996,0.3963210702341138,0.7125,0.5652173913043478,0.47058823529411764,0.5922330097087378,0 days 00:00:00.147921
16,0.9998887327092875,0.5567179969436935,0.7397260273972602,0.5894039735099338,0.6382978723404256,1.0,1.0,0.0,0.0,0.5,0.2962962962962963,0 days 00:00:00.204828
17,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.126815
18,0.9999993263815549,0.5611653148387602,0.7553191489361702,0.5380794701986755,0.5035460992907801,0.7166666666666667,0.691025641025641,0.1166666666666667,0.10897435897435903,0.5,0.3012820512820513,0 days 00:00:00.067460
19,5.8358007015805146e-33,0.5742460457401095,0.7811158798283262,0.5165562913907285,0.4302600472813239,0.6625,0.5333333333333333,0.0,0.0,0.4555555555555555,0.21739130434782605,0 days 00:00:00.133914
20,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.139438
21,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.108547
22,1.0,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.384721
23,0.8733008804191207,0.6341574912163839,0.8277153558052435,0.5894039735099338,0.5224586288416075,1.0,0.9761904761904762,0.0,0.0,0.5,0.33333333333333326,0 days 00:00:00.328413
24,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.398474
25,0.9992863449815966,0.5298251113462116,0.7183770883054893,0.6026490066225165,0.7115839243498818,0.5916666666666667,0.6217948717948718,0.4083333333333333,0.3782051282051282,0.48888888888888893,0.47619047619047616,0 days 00:00:00.221063
26,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.248641
27,0.9956994059178859,0.5728942178336796,0.7513812154696132,0.6009933774834437,0.6430260047281324,1.0,1.0,0.0,0.0,0.2941176470588236,0.21739130434782605,0 days 00:00:00.389355
28,1.2213354459342864e-32,0.568407716521035,0.7368421052631579,0.6721854304635762,0.8274231678486997,0.29166666666666663,0.3583333333333333,0.7083333333333334,0.6416666666666667,0.5,0.5922330097087378,0 days 00:00:00.157575
29,5.107241418324714e-09,0.6198947272181079,0.7968253968253968,0.609271523178808,0.5933806146572104,0.2614379084967321,0.2611482720178372,0.4444444444444444,0.34782608695652173,0.49375,0.4916666666666667,0 days 00:00:00.033989
30,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.052436
31,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.052746
32,0.9777741301785895,0.5571555451066441,0.7439759036144579,0.5678807947019867,0.5839243498817966,0.55,0.5494149863081902,0.30000000000000004,0.2564102564102564,0.4901960784313726,0.4358974358974359,0 days 00:00:00.943063
33,0.18396165188319538,0.6091911236498047,0.7780898876404494,0.6274834437086093,0.6548463356973995,1.0,1.0,0.0,0.0,0.5,0.41747572815533984,0 days 00:00:00.414960
34,0.6956555402728508,0.5599179760458707,0.7462235649546828,0.5695364238410596,0.5839243498817966,1.0,1.0,0.0,0.0,0.41481481481481486,0.33333333333333326,0 days 00:00:00.379286
35,6.644502666058657e-49,0.5944908114885781,0.7551487414187643,0.6688741721854304,0.7801418439716312,0.8666666666666667,0.9029126213592233,0.1333333333333333,0.09708737864077666,0.5,0.47572815533980584,0 days 00:00:00.158311
36,0.8480701407868777,0.5853218917754006,0.8038277511961722,0.5099337748344371,0.3971631205673759,0.8666666666666667,0.8269230769230769,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.218405
37,0.6655885055377915,0.6619450648485561,0.7949308755760369,0.7235099337748344,0.8156028368794326,0.3125,0.33333333333333337,0.6875,0.5666666666666667,0.6036184210526316,0.6310679611650486,0 days 00:00:00.448974
38,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.107682
39,0.6869429306629663,0.6968313676318849,0.8666666666666667,0.6639072847682119,0.6146572104018913,0.27720588235294114,0.2833333333333334,0.48750000000000004,0.3666666666666667,0.6453488372093024,0.6166666666666667,0 days 00:00:00.141632
40,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.227091
41,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.323203
42,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.284817
43,2.9679385909894476e-34,0.5421091127568147,0.7287234042553191,0.5844370860927153,0.6477541371158393,0.975,0.9302325581395349,0.0,0.0,0.2941176470588236,0.21739130434782605,0 days 00:00:00.290419
44,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.128964
45,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.330307
46,0.6884357089192384,0.6815171819286078,0.8866396761133604,0.6158940397350994,0.5177304964539007,0.32492997198879553,0.22674418604651164,0.2941176470588236,0.25,0.6222222222222222,0.4,0 days 00:00:00.945757
47,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.213055
48,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.102764
49,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.047836
50,1.1088861165700864e-273,0.5290283818554655,0.7176470588235294,0.6059602649006622,0.7210401891252955,0.44166666666666665,0.4423076923076923,0.5583333333333333,0.5576923076923077,0.4799861973775017,0.532051282051282,0 days 00:00:00.176147
51,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.038765
52,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.177572
53,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.259111
54,0.9999999999999123,0.5490902916552381,0.7757575757575758,0.4503311258278146,0.30260047281323876,0.6555555555555556,0.5574136008918618,0.06666666666666665,0.05128205128205132,0.5074074074074074,0.28205128205128205,0 days 00:00:00.182506
55,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.084037
56,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.043292
57,0.695866738536269,0.6999399187597142,0.8511904761904762,0.6903973509933775,0.6761229314420804,0.2925696594427245,0.22179487179487178,0.47058823529411764,0.4,0.5777777777777777,0.55,0 days 00:00:00.094559
58,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.315002
59,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.265079
60,0.6317348053343943,0.7196099943837102,0.848404255319149,0.7334437086092715,0.7541371158392435,0.1253968253968254,0.09612403100775191,0.7,0.5666666666666667,0.6406976744186046,0.6504854368932039,0 days 00:00:00.040919
61,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.126987
62,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.392163
63,0.5446246421851196,0.621925734362551,0.8148148148148148,0.5811258278145696,0.5200945626477541,0.8518518518518519,0.6904761904761905,0.0,0.0,0.5,0.21739130434782605,0 days 00:00:00.081398
64,0.6285631397457362,0.598592009195042,0.7791798107255521,0.5927152317880795,0.5839243498817966,1.0,1.0,0.0,0.0,0.5,0.21739130434782605,0 days 00:00:00.034959
65,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.201278
66,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.181200
67,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.036172
68,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.170223
69,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.052901
70,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.312063
71,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.384399
72,0.7058469162416141,0.5341091650013714,0.7547169811320755,0.4337748344370861,0.28368794326241137,0.7777777777777778,0.6521739130434783,0.0,0.0,0.4569444444444444,0.33333333333333326,0 days 00:00:01.241875
