model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:01.304662
1,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.270417
2,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.086104
3,0.701907823914875,0.5704452542350744,0.8455284552845529,0.44039735099337746,0.2458628841607565,0.7222222222222222,0.6086956521739131,0.0,0.0,0.5,0.33333333333333326,0 days 00:00:00.065877
4,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:02.932707
5,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.062048
6,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.141987
7,0.6991432464936993,0.7165406266734584,0.8774193548387097,0.6870860927152318,0.6430260047281324,0.32507739938080493,0.23139534883720936,0.4117647058823529,0.35,0.6354651162790698,0.5,0 days 00:00:00.208995
8,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.211925
9,0.6970469877206653,0.5934916343403471,0.7804054054054054,0.5745033112582781,0.5460992907801419,0.2722222222222222,0.1912199240185733,0.44999999999999996,0.41747572815533984,0.5213815789473684,0.5242718446601942,0 days 00:00:00.082323
10,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.048804
11,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.140070
12,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.648818
13,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.067101
14,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.751247
15,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.157545
16,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.594951
17,0.6173406734402499,0.8525005550984157,0.9209876543209876,0.8642384105960265,0.8817966903073287,0.1633986928104575,0.28543689320388355,0.7777777777777778,0.5145631067961165,0.7467105263157895,0.7619047619047619,0 days 00:00:00.109385
18,0.9999932129401721,0.5796141739482518,0.7578347578347578,0.5993377483443708,0.6288416075650118,0.8253968253968254,0.872093023255814,0.17460317460317465,0.12790697674418605,0.5,0.39534883720930236,0 days 00:00:00.067402
19,0.5967512778617344,0.811860820500764,0.8913043478260869,0.8360927152317881,0.8723404255319149,0.14117647058823524,0.23689320388349522,0.8,0.5631067961165048,0.7023026315789473,0.7592592592592593,0 days 00:00:00.183043
20,0.5905688980652636,0.8327521126392644,0.8988235294117647,0.8609271523178808,0.9030732860520094,0.15000000000000002,0.25776699029126215,0.85,0.5922330097087378,0.7598684210526316,0.8095238095238095,0 days 00:00:00.333872
21,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.086420
22,0.54824963096419,0.9514713373300419,0.9652777777777778,0.9652317880794702,0.9858156028368794,0.033333333333333326,0.28689320388349515,0.9666666666666667,0.5631067961165048,0.893092105263158,0.9259259259259259,0 days 00:00:00.347420
23,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.258715
24,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:01.674230
25,0.8621320264651517,0.6928346590389614,0.8441176470588235,0.6870860927152318,0.6784869976359338,0.5875,0.7,0.4125,0.30000000000000004,0.5,0.5833333333333334,0 days 00:00:00.321150
26,0.6956555402728508,0.5599179760458707,0.7462235649546828,0.5695364238410596,0.5839243498817966,1.0,1.0,0.0,0.0,0.41481481481481486,0.33333333333333326,0 days 00:00:00.513014
27,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:01.036778
28,0.6489339486598619,0.7416963807583297,0.8624338624338624,0.7533112582781457,0.7706855791962175,0.29166666666666663,0.3916666666666666,0.7083333333333334,0.5583333333333333,0.6666666666666666,0.6923076923076923,0 days 00:00:00.141468
29,0.7785583431459118,0.9203792954821519,0.9815303430079155,0.9039735099337748,0.8794326241134752,0.17460317460317465,0.3257281553398058,0.8253968253968254,0.5242718446601942,0.8717105263157895,0.8604651162790697,0 days 00:00:00.030949
30,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.087077
31,0.6830747019420218,0.7061831432937581,0.8350515463917526,0.7301324503311258,0.7659574468085106,0.21568627450980393,0.20740740740740748,0.6666666666666666,0.5925925925925926,0.6333333333333333,0.6521739130434783,0 days 00:00:00.053842
32,0.6131066701905058,0.9329441113853951,0.9598108747044918,0.9437086092715232,0.9598108747044918,0.10526315789473684,0.28689320388349515,0.8947368421052632,0.5631067961165048,0.8223684210526316,0.8518518518518519,0 days 00:00:00.807238
33,0.6655885055377915,0.6619450648485561,0.7949308755760369,0.7235099337748344,0.8156028368794326,0.3125,0.33333333333333337,0.6875,0.5666666666666667,0.6036184210526316,0.6310679611650486,0 days 00:00:00.594419
34,0.6869429306629663,0.6968313676318849,0.8666666666666667,0.6639072847682119,0.6146572104018913,0.27720588235294114,0.2833333333333334,0.48750000000000004,0.3666666666666667,0.6453488372093024,0.6166666666666667,0 days 00:00:00.562134
35,0.6621733067337848,0.8276778600629546,0.9166666666666666,0.8294701986754967,0.8321513002364066,0.20043572984749458,0.2951456310679612,0.7407407407407407,0.5048543689320388,0.7037037037037037,0.7142857142857143,0 days 00:00:00.159502
36,0.8748266970213775,0.7535558951451746,0.8798882681564246,0.75,0.7446808510638298,0.42500000000000004,0.5916666666666667,0.575,0.4083333333333333,0.5,0.6916666666666667,0 days 00:00:00.172162
37,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.377372
38,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.078224
39,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.104344
40,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.162616
41,0.6377230345714516,0.7188263260321566,0.8494623655913979,0.7301324503311258,0.7470449172576832,0.15873015873015872,0.09968390155791373,0.6666666666666666,0.5631067961165048,0.6439922480620155,0.6504854368932039,0 days 00:00:00.819631
42,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.199613
43,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.239917
44,0.63189324034712,0.9964539007092199,1.0,0.9950331125827815,0.9929078014184397,0.031746031746031744,0.2674757281553398,0.9682539682539683,0.5825242718446602,0.9841269841269842,0.9767441860465116,0 days 00:00:00.109895
45,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.274448
46,0.6884357089192384,0.6815171819286078,0.8866396761133604,0.6158940397350994,0.5177304964539007,0.32492997198879553,0.22674418604651164,0.2941176470588236,0.25,0.6222222222222222,0.4,0 days 00:00:01.123842
47,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.213062
48,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.100559
49,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.029514
50,0.998933608191821,0.5224978122591852,0.7099494097807757,0.7119205298013245,0.9952718676122931,0.01666666666666672,0.07051282051282048,0.9833333333333333,0.9294871794871795,0.5,0.5825242718446602,0 days 00:00:00.246221
51,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.031244
52,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.166402
53,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.229620
54,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.434614
55,0.695866738536269,0.6999399187597142,0.8511904761904762,0.6903973509933775,0.6761229314420804,0.2925696594427245,0.22179487179487178,0.47058823529411764,0.4,0.5777777777777777,0.55,0 days 00:00:00.070468
56,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.046732
57,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.087025
58,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.285221
59,0.6092719463766967,0.8962619019630893,0.9383886255924171,0.9122516556291391,0.9361702127659575,0.10526315789473684,0.25776699029126215,0.8947368421052632,0.5922330097087378,0.8223684210526316,0.8518518518518519,0 days 00:00:00.228135
60,0.6888967113646394,0.724827919491138,0.8859934853420195,0.6920529801324503,0.6430260047281324,0.2407407407407407,0.14424410540915394,0.5,0.4271844660194175,0.65,0.5652173913043478,0 days 00:00:00.040735
61,0.7773541012106235,0.8488760889724802,0.8917748917748918,0.8990066225165563,0.9739952718676123,0.052631578947368474,0.3416666666666667,0.9473684210526315,0.6583333333333333,0.5,0.7142857142857143,0 days 00:00:00.098680
62,0.6630248781492832,0.9617635150137795,0.9900990099009901,0.9552980132450332,0.9456264775413712,0.11111111111111116,0.28689320388349515,0.8888888888888888,0.5631067961165048,0.9161184210526316,0.9074074074074074,0 days 00:00:00.302286
63,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.074537
64,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.032640
65,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.199098
66,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.277989
67,0.6721101094759426,0.7712733304598827,0.8798955613577023,0.7814569536423841,0.7966903073286052,0.14901960784313728,0.21601941747572817,0.7333333333333333,0.5339805825242718,0.7152777777777777,0.7378640776699029,0 days 00:00:00.024764
68,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.183293
69,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.064808
70,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.318138
71,0.7058469162416141,0.5341091650013714,0.7547169811320755,0.4337748344370861,0.28368794326241137,0.7777777777777778,0.6521739130434783,0.0,0.0,0.4569444444444444,0.33333333333333326,0 days 00:00:00.820284
72,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:02.475762
73,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.263440
74,0.6906766614758874,0.7007888928072306,0.8758620689655172,0.6605960264900662,0.6004728132387707,0.23311546840958608,0.1581395348837209,0.47058823529411764,0.4,0.6304263565891473,0.55,0 days 00:00:00.366747
75,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.325383
76,0.6932372976842371,0.7476196073821559,0.868632707774799,0.7549668874172185,0.7659574468085106,0.16013071895424835,0.19999999999999996,0.7222222222222222,0.55,0.6611111111111111,0.6956521739130435,0 days 00:00:00.096291
77,0.6933507664607363,0.7306466570014236,0.8534031413612565,0.7466887417218543,0.7706855791962175,0.10317460317460314,0.1333333333333333,0.7222222222222222,0.5666666666666667,0.6611111111111111,0.6956521739130435,0 days 00:00:00.045847
78,0.6139155375946797,0.8548515601530766,0.9160671462829736,0.8741721854304636,0.9030732860520094,0.14814814814814814,0.2966019417475728,0.8518518518518519,0.5533980582524272,0.7444444444444445,0.7857142857142857,0 days 00:00:00.166040
79,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.238058
80,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.053666
81,0.7034153619730821,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.124817
82,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.192570
83,0.7176089081495177,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.123591
84,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.946212
85,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.129482
86,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:01.016178
87,0.7893794035977777,0.6850110366626176,0.8620689655172413,0.6473509933774835,0.5910165484633569,0.2869047619047619,0.26453488372093026,0.475,0.375,0.6333333333333333,0.5916666666666667,0 days 00:00:00.220770
88,0.6102697143917093,0.9660802215169206,0.9809976247030879,0.9701986754966887,0.9763593380614657,0.03749999999999998,0.2771844660194175,0.9625,0.5728155339805825,0.9148148148148147,0.9285714285714286,0 days 00:00:00.028833
89,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.153565
90,0.8335692695298811,0.8131212204328462,0.923943661971831,0.7980132450331126,0.7754137115839244,0.19047619047619047,0.27427184466019416,0.6984126984126984,0.47572815533980584,0.7467105263157895,0.7558139534883721,0 days 00:00:00.073019
91,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.207976
92,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.560931
93,0.6954876164796994,0.7760928908219376,0.9211356466876972,0.7417218543046358,0.6903073286052009,0.13507625272331147,0.17500000000000004,0.6296296296296297,0.475,0.7148148148148148,0.6904761904761905,0 days 00:00:00.167229
94,0.6821515515527343,0.713804318012617,0.8865979381443299,0.6721854304635762,0.6099290780141844,0.23311546840958608,0.14761904761904765,0.47058823529411764,0.4,0.6387596899224806,0.55,0 days 00:00:00.173121
95,0.6754915674125352,0.7121977978919322,0.8722044728434505,0.6854304635761589,0.6453900709219859,0.24365079365079356,0.22013998645292393,0.55,0.4077669902912622,0.6680555555555556,0.6416666666666667,0 days 00:00:00.063068
96,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.038963
97,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.238774
98,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.187982
99,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.056022
100,0.8140475711654407,0.808340843488369,0.9002557544757033,0.8178807947019867,0.8321513002364066,0.21052631578947367,0.33804347826086956,0.7894736842105263,0.575,0.674074074074074,0.7142857142857143,0 days 00:00:02.255314
101,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:01.441134
102,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.090595
103,inf,0.5,0.0,0.2996688741721854,0.0,0.0,0.0,0.0,0.0,0.5,0.15000000000000002,0 days 00:00:00.070438
