model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.6037169817063891,0.9574404761904762,0.9799635701275046,0.95875,0.9607142857142857,0.08695652173913049,0.30494728304947283,0.9130434782608695,0.583941605839416,0.875,0.9310344827586207,0 days 00:00:06.278545
1,0.7908485151372333,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:08.404131
2,0.9724034240499232,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:05.421858
3,0.9537574374165428,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:33.254782
4,0.8317959791711802,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:10.423645
5,0.9612480658409983,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:02.106525
6,0.7320928653628316,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:02.312638
7,0.6367941583144603,0.9952380952380953,0.9982078853046595,0.995,0.9946428571428572,0.027027027027026973,0.24601243579345766,0.972972972972973,0.6058394160583942,0.9864864864864865,0.9821428571428571,0 days 00:00:13.452851
8,0.999317550572625,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:13.957413
9,0.5968106427759988,0.9336309523809523,0.9653916211293261,0.93875,0.9464285714285714,0.10810810810810811,0.30494728304947283,0.8918918918918919,0.583941605839416,0.875,0.8928571428571429,0 days 00:00:13.104050
10,0.979602867928078,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:04.725235
11,0.9883164504276045,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:10.094450
12,0.9832627787373046,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:03.663742
13,0.5820983498671792,0.9467261904761906,0.9694793536804309,0.95375,0.9642857142857143,0.08695652173913049,0.28304947283049464,0.9130434782608695,0.6058394160583942,0.875,0.9310344827586207,0 days 00:00:20.315956
14,0.9598982795958099,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:03.179638
15,0.994676306993374,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:02.832573
16,0.6547730197395978,0.9258928571428571,0.97678916827853,0.91625,0.9017857142857143,0.14414414414414412,0.3341443633414436,0.8558558558558559,0.5547445255474452,0.875,0.8905109489051095,0 days 00:00:06.581905
17,0.9667037886037794,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9954954954954955,0.9939393939393939,0 days 00:00:08.855164
18,0.6378981307566713,0.9991071428571429,1.0,0.99875,0.9982142857142857,0.0066225165562914245,0.24601243579345766,0.9933774834437086,0.6058394160583942,0.9966887417218543,0.9950738916256158,0 days 00:00:03.561384
19,0.5091962521478552,0.9970238095238095,0.9982142857142857,0.9975,0.9982142857142857,0.009009009009009028,0.24601243579345766,0.990990990990991,0.6058394160583942,0.9903846153846154,0.9939393939393939,0 days 00:00:14.327553
20,0.6168011648303819,0.993452380952381,0.9982014388489209,0.9925,0.9910714285714286,0.018018018018018056,0.24601243579345766,0.9819819819819819,0.6058394160583942,0.983762098828324,0.9852216748768473,0 days 00:00:11.983371
