number,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda
0,0 days 00:00:06.278545,0.052220218786402574,15,1616,11,0.0002408882484194924,0.006108948094718785
1,0 days 00:00:08.404131,0.05196624519772111,13,813,28,0.06547363218338918,0.0005773199040478305
2,0 days 00:00:05.421858,0.14338899253022538,12,4964,49,0.0519010627659121,0.00016969436827339178
3,0 days 00:00:33.254782,0.017854505743576523,17,3260,26,0.012088087721092284,0.03365823751712539
4,0 days 00:00:10.423645,0.14015891864380198,9,1143,49,0.0008846521358266745,0.02935816476498134
5,0 days 00:00:02.106525,0.02197956685722356,7,253,88,0.00011875713399045598,0.07552049264103645
6,0 days 00:00:02.312638,0.0618068260023386,10,291,22,0.006363259547230042,0.0008522297781487582
7,0 days 00:00:13.452851,0.032739639300430244,14,2787,17,0.024095357920486442,0.005764017809921314
8,0 days 00:00:13.957413,0.021802236878827798,17,1096,40,0.006403300976274508,0.013192875340751812
9,0 days 00:00:13.104050,0.032094906450889436,17,1014,43,0.0037944923508456485,0.006090346350358063
10,0 days 00:00:04.725235,0.047808558959611995,7,790,15,0.00019843897891942157,0.00015204690142526093
11,0 days 00:00:10.094450,0.048633501838833346,16,1582,62,0.03469304177577558,0.0035994038466662694
12,0 days 00:00:03.663742,0.03901295610978825,13,303,32,0.024488665333175515,0.00010455643773401446
13,0 days 00:00:20.315956,0.01809915321961302,5,4285,58,0.02694167708668081,0.0006959321429288719
14,0 days 00:00:03.179638,0.051475632435512064,3,1321,20,0.0013905322250059278,0.0011653844081695086
15,0 days 00:00:02.832573,0.017621704608487443,4,710,11,0.012030863225344444,0.00043463264835947815
16,0 days 00:00:06.581905,0.11045935949621509,4,1975,83,0.004144133999640769,0.03248295918944014
17,0 days 00:00:08.855164,0.010792305002624463,11,985,23,0.00010788495121877199,0.00013653306915870618
18,0 days 00:00:03.561384,0.010803266194573051,6,586,60,0.004173291024737117,0.0002893407220100915
19,0 days 00:00:14.327553,0.023302554608273712,18,1156,59,0.004438495982525197,0.0003377721552033934
20,0 days 00:00:11.983371,0.010707261208785748,11,1158,67,0.003844478564276196,0.021858449601560446
21,0 days 00:00:10.571297,0.03729451918610645,4,3190,41,0.006501481618263356,0.005119461929997226
22,0 days 00:00:02.596293,0.011421056152573578,6,381,53,0.02594991442314611,0.00173786127660799
23,0 days 00:00:08.889664,0.01083651504561354,19,1453,14,0.0008495221764521562,0.05949376316679301
24,0 days 00:00:02.140134,0.1499636264227534,16,290,18,0.0009054510423818887,0.007398041446368129
25,0 days 00:00:09.126640,0.045307420681142366,12,1139,95,0.04985180781605852,0.020524053653797385
26,0 days 00:00:24.795733,0.012335938664161872,17,2131,37,0.0005976168238113983,0.0003837618305660341
27,0 days 00:00:03.342810,0.032655321684129816,12,494,16,0.00031222252642176086,0.013672918660831625
