model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.6465738520628627,0.7578595405091233,0.8701298701298701,0.7715231788079471,0.7919621749408984,0.27450980392156865,0.3242718446601942,0.6666666666666666,0.47572815533980584,0.6842105263157895,0.7142857142857143,0 days 00:00:13.670844
1,0.646203678443057,0.725944646892102,0.8603351955307262,0.7268211920529801,0.7281323877068558,0.38235294117647056,0.39032722042430784,0.5,0.3689320388349515,0.6398026315789473,0.6310679611650486,0 days 00:00:21.134572
2,0.6981433556020981,0.7315086921881326,0.8803680981595092,0.7102649006622517,0.6784869976359338,0.37380952380952376,0.41945343401654084,0.4833333333333334,0.3398058252427185,0.6398026315789473,0.6407766990291263,0 days 00:00:35.124400
3,0.6625889920485623,0.5707130075885218,0.7818181818181819,0.5049668874172185,0.4066193853427896,0.18518518518518517,0.18140956490471055,0.33333333333333326,0.2815533980582524,0.5027605244996549,0.4534883720930232,0 days 00:00:02.792664
4,0.6929324724630918,0.7366090670428275,0.8731988472622478,0.7284768211920529,0.7163120567375887,0.2587719298245613,0.34268248831355624,0.5833333333333334,0.3980582524271845,0.6481481481481481,0.6428571428571429,0 days 00:01:12.540858
5,0.6473791376550441,0.7440735080913757,0.8675675675675676,0.75,0.7588652482269503,0.26568627450980387,0.3131067961165049,0.6166666666666667,0.4368932038834952,0.6710526315789473,0.6990291262135923,0 days 00:00:19.222446
6,0.5878169911441499,0.5155362250695505,0.7084188911704312,0.6357615894039735,0.8156028368794326,0.10925925925925928,0.11375661375661372,0.7407407407407407,0.7380952380952381,0.4117647058823529,0.5631067961165048,0 days 00:00:04.389358
7,0.634275524636815,0.4691430586575761,0.6792452830188679,0.5198675496688742,0.5957446808510638,0.24853801169590645,0.28260869565217395,0.4736842105263157,0.5,0.2647058823529411,0.38888888888888884,0 days 00:00:17.835582
8,0.6265755008934631,0.7475934851037708,0.8600508905852418,0.7682119205298014,0.7990543735224587,0.2055555555555555,0.26411362819129813,0.6833333333333333,0.49514563106796117,0.663888888888889,0.7184466019417476,0 days 00:00:06.721133
9,0.6522748225913607,0.7523477397698628,0.870026525198939,0.7615894039735099,0.7754137115839244,0.27222222222222214,0.32281553398058255,0.6166666666666667,0.4271844660194175,0.6710526315789473,0.7087378640776699,0 days 00:00:21.222097
10,0.662401230545192,0.7468359390306023,0.8699186991869918,0.7516556291390728,0.7588652482269503,0.29117647058823526,0.34368932038834954,0.65,0.4563106796116505,0.6722222222222223,0.7051282051282052,0 days 00:00:15.275477
11,0.6019671221963728,0.5143019474158537,0.7072243346007605,0.6605960264900662,0.8794326241134752,0.17647058823529416,0.18604651162790697,0.8235294117647058,0.813953488372093,0.4117647058823529,0.5952380952380952,0 days 00:00:03.212049
12,0.6374328406991452,0.5041338505544454,0.7070063694267515,0.40728476821192056,0.2624113475177305,0.16666666666666666,0.11296296296296296,0.16666666666666663,0.20370370370370372,0.443798449612403,0.36046511627906974,0 days 00:00:03.085498
