model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.6143658383816971,0.74011598291603,0.8605263157894737,0.7533112582781457,0.7730496453900709,0.27450980392156865,0.31456310679611654,0.6666666666666666,0.4854368932038835,0.6583333333333333,0.6956521739130435,0 days 00:00:02.355859
1,0.5650855221139648,0.7487363347831197,0.8490566037735849,0.7897350993377483,0.851063829787234,0.14117647058823524,0.22718446601941755,0.8,0.5728155339805825,0.6529605263157895,0.7407407407407407,0 days 00:00:01.480085
2,0.5805376174764229,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:20.759853
3,0.578553195084694,0.6754241604952784,0.8167539267015707,0.7003311258278145,0.7375886524822695,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:05.321876
4,0.5814783182159851,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:03.585517
5,0.5993374265081479,0.7467967556130246,0.8571428571428571,0.7715231788079471,0.8085106382978723,0.1780701754385965,0.2923408845738943,0.7166666666666667,0.4854368932038835,0.6777777777777778,0.7391304347826086,0 days 00:00:02.979030
6,0.6320007283842247,0.74011598291603,0.8605263157894737,0.7533112582781457,0.7730496453900709,0.24117647058823533,0.31456310679611654,0.7,0.4854368932038835,0.6583333333333333,0.6987179487179487,0 days 00:00:29.298510
7,0.6678800374698463,0.745268602327495,0.8725761772853186,0.7450331125827815,0.7446808510638298,0.21568627450980393,0.28398058252427183,0.6666666666666666,0.46601941747572817,0.6875,0.6987179487179487,0 days 00:00:37.723898
8,0.6113807555860051,0.7440473858129906,0.8589743589743589,0.7632450331125827,0.7919621749408984,0.1780701754385965,0.2923408845738943,0.7166666666666667,0.4854368932038835,0.6833333333333333,0.7371794871794872,0 days 00:00:03.539720
9,0.5776454569879772,0.6754241604952784,0.8167539267015707,0.7003311258278145,0.7375886524822695,0.337719298245614,0.23047699451245252,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:03.562785
10,0.5843606385799682,0.7160508339537375,0.8433420365535248,0.7350993377483444,0.7635933806146572,0.17836257309941517,0.13478260869565217,0.7105263157894737,0.5652173913043478,0.6365131578947368,0.6666666666666666,0 days 00:00:01.006263
11,0.5786210665310496,0.6778535323850946,0.8353293413173652,0.6705298013245033,0.6595744680851063,0.35,0.19312169312169314,0.5,0.42592592592592593,0.6041666666666667,0.5740740740740741,0 days 00:00:03.359332
12,0.581966264508779,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:00.551531
13,0.5891574388476571,0.7393061922860913,0.8535353535353535,0.7632450331125827,0.7990543735224587,0.21895424836601307,0.20776699029126222,0.7222222222222222,0.5922330097087378,0.6652777777777779,0.7243589743589743,0 days 00:00:05.903209
14,0.6263764688337706,0.7424800491098833,0.8612565445026178,0.7566225165562914,0.7777777777777778,0.24117647058823533,0.31456310679611654,0.7,0.4854368932038835,0.6842105263157895,0.7307692307692307,0 days 00:00:02.864589
15,0.5804528346618912,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:45.683992
16,0.5744766916010311,0.6798061726943825,0.830945558739255,0.6821192052980133,0.6855791962174941,0.3403508771929825,0.2060409924487595,0.5263157894736842,0.4444444444444444,0.6208333333333333,0.5925925925925926,0 days 00:00:18.910623
17,0.589587560471026,0.7144834972506302,0.8453333333333334,0.7284768211920529,0.7494089834515366,0.14596949891067534,0.12525879917184268,0.7058823529411765,0.5652173913043478,0.6365131578947368,0.6666666666666666,0 days 00:00:05.298022
18,0.5662863198060372,0.69550566200384,0.8215158924205379,0.7350993377483444,0.7943262411347518,0.24912280701754386,0.19668737060041408,0.6842105263157895,0.5652173913043478,0.6233552631578947,0.6481481481481481,0 days 00:00:01.293973
19,0.5790316877325544,0.7369290649530451,0.849009900990099,0.7665562913907285,0.8108747044917257,0.21895424836601307,0.2757281553398059,0.7222222222222222,0.5242718446601942,0.65,0.7307692307692307,0 days 00:00:07.627177
20,0.6775253661469498,0.7417355641759075,0.8764367816091954,0.7334437086092715,0.7210401891252955,0.23099415204678353,0.2668104998202086,0.6111111111111112,0.4368932038834952,0.6652777777777777,0.6794871794871795,0 days 00:00:06.297426
21,0.6068470907147103,0.7456147225160978,0.8567839195979899,0.7698675496688742,0.806146572104019,0.27450980392156865,0.3048543689320389,0.6666666666666666,0.49514563106796117,0.6333333333333333,0.6521739130434783,0 days 00:00:16.925584
22,0.5816025356246232,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:11.584339
23,0.5615702093898998,0.738881705262333,0.8448687350835322,0.7781456953642384,0.8368794326241135,0.12450980392156863,0.20776699029126222,0.8166666666666667,0.5922330097087378,0.6583333333333333,0.7435897435897436,0 days 00:00:01.866015
24,0.651235860271764,0.7460522706790487,0.8712328767123287,0.7483443708609272,0.75177304964539,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.7,0.6521739130434783,0 days 00:00:21.765213
25,0.5756741758966958,0.6790225043428288,0.8318840579710145,0.6788079470198676,0.6784869976359338,0.3666666666666667,0.21693121693121697,0.5,0.42592592592592593,0.6208333333333333,0.5740740740740741,0 days 00:00:11.964013
26,0.6613157759819531,0.7425061713882685,0.8701657458563536,0.7433774834437086,0.7446808510638298,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6958333333333333,0.6956521739130435,0 days 00:00:13.799101
27,0.6535865087365786,0.748416336872902,0.8719346049046321,0.7516556291390728,0.7565011820330969,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.7023026315789473,0.6521739130434783,0 days 00:00:18.841225
28,0.5881433594171432,0.7412718937345715,0.8528678304239401,0.7682119205298014,0.8085106382978723,0.2245098039215686,0.2951456310679612,0.7166666666666667,0.5048543689320388,0.663888888888889,0.7371794871794872,0 days 00:00:02.354133
29,0.5791291150316643,0.7424408656923056,0.8495145631067961,0.7764900662251656,0.8274231678486997,0.1780701754385965,0.3011506652283351,0.7166666666666667,0.49514563106796117,0.6611111111111111,0.6956521739130435,0 days 00:00:04.190559
30,0.5765744955396802,0.6762078288468321,0.8160621761658031,0.7036423841059603,0.7446808510638298,0.337719298245614,0.23047699451245252,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:12.417331
31,0.6617326567763788,0.7425061713882685,0.8701657458563536,0.7433774834437086,0.7446808510638298,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6958333333333333,0.6956521739130435,0 days 00:00:05.900035
32,0.6662074292646597,0.7492130663636483,0.8753462603878116,0.7483443708609272,0.7470449172576832,0.21568627450980393,0.28398058252427183,0.6666666666666666,0.46601941747572817,0.6916666666666667,0.7051282051282052,0 days 00:00:03.677745
33,0.6052344775839478,0.7294776850436895,0.8571428571428571,0.7384105960264901,0.75177304964539,0.12962962962962965,0.13598456559621608,0.7222222222222222,0.5242718446601942,0.649671052631579,0.6851851851851852,0 days 00:00:02.980368
34,0.5810078907054633,0.744406567140786,0.8489208633093526,0.7814569536423841,0.8368794326241135,0.15784313725490196,0.23689320388349522,0.7833333333333333,0.5631067961165048,0.6583333333333333,0.7435897435897436,0 days 00:00:10.876188
35,0.6038726463270145,0.7515248880007315,0.858560794044665,0.7781456953642384,0.817966903073286,0.2245098039215686,0.3048543689320389,0.7166666666666667,0.49514563106796117,0.6611111111111111,0.6956521739130435,0 days 00:00:03.605598
36,0.6644426336753932,0.7417225030367148,0.8715083798882681,0.7400662251655629,0.7375886524822695,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6833333333333333,0.6923076923076923,0 days 00:00:03.208432
37,0.5834517801921477,0.708161905881431,0.8381201044386423,0.7284768211920529,0.7588652482269503,0.14596949891067534,0.12525879917184268,0.7058823529411765,0.5652173913043478,0.6365131578947368,0.6666666666666666,0 days 00:00:31.286509
38,0.6109248353723036,0.7468098167522171,0.8611825192802056,0.7649006622516556,0.7919621749408984,0.2245098039215686,0.31456310679611654,0.7166666666666667,0.4854368932038835,0.6529605263157895,0.7243589743589743,0 days 00:00:06.658167
39,0.5822510457599722,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:23.861535
40,0.582247708940885,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:11.672763
41,0.5813214062371429,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:03.448131
42,0.5838852950672891,0.741258832595379,0.8491484184914841,0.7748344370860927,0.8250591016548463,0.1633986928104575,0.22718446601941755,0.7777777777777778,0.5728155339805825,0.6541666666666667,0.7371794871794872,0 days 00:00:03.261427
43,0.5642632408595192,0.7361323354622991,0.8463414634146341,0.7698675496688742,0.8203309692671394,0.21895424836601307,0.24660194174757288,0.7222222222222222,0.5533980582524272,0.6583333333333333,0.7391304347826086,0 days 00:00:01.268468
44,0.5085278217044105,0.7384572182385748,0.8371040723981901,0.793046357615894,0.8747044917257684,0.1263616557734205,0.1957671957671957,0.8148148148148148,0.6190476190476191,0.6348684210526316,0.7407407407407407,0 days 00:00:28.025235
45,0.5766414844025546,0.6778404712459021,0.8313953488372093,0.6771523178807947,0.6761229314420804,0.3666666666666667,0.21693121693121697,0.5,0.42592592592592593,0.6166666666666667,0.5740740740740741,0 days 00:00:06.288193
46,0.6602234066394802,0.7425061713882685,0.8701657458563536,0.7433774834437086,0.7446808510638298,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6958333333333333,0.6956521739130435,0 days 00:00:43.504114
47,0.6626032043563213,0.745268602327495,0.8725761772853186,0.7450331125827815,0.7446808510638298,0.2712418300653594,0.2936893203883495,0.6111111111111112,0.4563106796116505,0.6916666666666667,0.6956521739130435,0 days 00:00:22.972919
48,0.6605717594481706,0.7425061713882685,0.8701657458563536,0.7433774834437086,0.7446808510638298,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6958333333333333,0.6956521739130435,0 days 00:00:10.349338
49,0.6461451469615531,0.7424931102490759,0.8655913978494624,0.75,0.7612293144208038,0.21568627450980393,0.27427184466019416,0.6666666666666666,0.47572815533980584,0.6902777777777778,0.6956521739130435,0 days 00:00:07.007124
50,0.5965241782577771,0.7444326894191712,0.8564231738035264,0.7682119205298014,0.8037825059101655,0.2245098039215686,0.3048543689320389,0.7166666666666667,0.49514563106796117,0.6916666666666667,0.7391304347826086,0 days 00:00:01.090425
51,0.5791823749669716,0.7180034742630252,0.8391959798994975,0.7466887417218543,0.789598108747045,0.17836257309941517,0.14906832298136652,0.7105263157894737,0.5652173913043478,0.6365131578947368,0.6666666666666666,0 days 00:00:33.338751
52,0.6654380366304857,0.7429045361336415,0.871866295264624,0.7417218543046358,0.7399527186761229,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6875,0.6956521739130435,0 days 00:00:06.622395
53,0.6094175158849098,0.7428653527160639,0.8586118251928021,0.7615894039735099,0.789598108747045,0.27450980392156865,0.31456310679611654,0.6666666666666666,0.4854368932038835,0.6710526315789473,0.6956521739130435,0 days 00:00:01.336458
54,0.5827554368424007,0.6991562504081605,0.8524096385542169,0.6870860927152318,0.6690307328605201,0.29035087719298247,0.1139601139601139,0.5263157894736842,0.462962962962963,0.606907894736842,0.5740740740740741,0 days 00:00:15.395777
55,0.6585856621552286,0.7460522706790487,0.8712328767123287,0.7483443708609272,0.75177304964539,0.21568627450980393,0.28398058252427183,0.6666666666666666,0.46601941747572817,0.7,0.717948717948718,0 days 00:00:15.104922
56,0.5766065469203183,0.6766061935922051,0.8172323759791122,0.7019867549668874,0.7399527186761229,0.337719298245614,0.23047699451245252,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:15.690755
57,0.5940031705643494,0.7393061922860913,0.8535353535353535,0.7632450331125827,0.7990543735224587,0.27450980392156865,0.2951456310679612,0.6666666666666666,0.5048543689320388,0.6555555555555556,0.6956521739130435,0 days 00:00:04.467497
58,0.5877943820187854,0.7444196282799785,0.8525798525798526,0.7748344370860927,0.8203309692671394,0.2245098039215686,0.3048543689320389,0.7166666666666667,0.49514563106796117,0.6611111111111111,0.6956521739130435,0 days 00:00:04.512686
59,0.6599210049461617,0.7425061713882685,0.8701657458563536,0.7433774834437086,0.7446808510638298,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6958333333333333,0.6956521739130435,0 days 00:00:05.720337
60,0.6645660633812843,0.7440865692305683,0.8722222222222222,0.7433774834437086,0.7423167848699763,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6916666666666667,0.6956521739130435,0 days 00:00:02.059042
61,0.6125108028744283,0.7424669879706909,0.8571428571428571,0.7632450331125827,0.7943262411347518,0.1947368421052632,0.2923408845738943,0.7,0.4854368932038835,0.6875,0.7391304347826086,0 days 00:00:17.004417
62,0.6561774430226808,0.7488147016182751,0.8736263736263736,0.75,0.75177304964539,0.19901960784313721,0.29323984178353113,0.6833333333333333,0.46601941747572817,0.6842105263157895,0.6987179487179487,0 days 00:00:07.821304
63,0.5708896784221393,0.7459869649830858,0.8506024096385543,0.7814569536423841,0.83451536643026,0.22807017543859653,0.24289823804386912,0.6666666666666666,0.5533980582524272,0.6661184210526316,0.6956521739130435,0 days 00:00:02.248148
64,0.653205823032666,0.7421078066428954,0.8684931506849315,0.7450331125827815,0.7494089834515366,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6958333333333333,0.6521739130434783,0 days 00:00:03.675622
65,0.638538849403559,0.74011598291603,0.8605263157894737,0.7533112582781457,0.7730496453900709,0.3300653594771241,0.31456310679611654,0.6111111111111112,0.4854368932038835,0.6847222222222222,0.6521739130434783,0 days 00:00:03.318128
66,0.6168215962726618,0.7464114520068441,0.8596938775510204,0.7665562913907285,0.7966903073286052,0.24117647058823533,0.31456310679611654,0.7,0.4854368932038835,0.6842105263157895,0.7391304347826086,0 days 00:00:07.960446
67,0.6550164848800223,0.7432898397398221,0.8688524590163934,0.7466887417218543,0.75177304964539,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6958333333333333,0.6956521739130435,0 days 00:00:09.781350
68,0.5819168921268083,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:03.572321
69,0.6077533301960422,0.7330237843344696,0.8582887700534759,0.7433774834437086,0.7588652482269503,0.16013071895424835,0.2354368932038835,0.7222222222222222,0.5145631067961165,0.6583333333333333,0.6987179487179487,0 days 00:00:06.612429
70,0.6204751172875883,0.7452424800491099,0.863517060367454,0.7582781456953642,0.7777777777777778,0.1823529411764706,0.25485436893203883,0.7,0.49514563106796117,0.6527777777777778,0.7051282051282052,0 days 00:00:01.233936
71,0.6301661557058653,0.7408996512675836,0.859375,0.7566225165562914,0.7801418439716312,0.1823529411764706,0.27427184466019416,0.7,0.47572815533980584,0.6833333333333333,0.725,0 days 00:00:01.423656
72,0.6092514462889879,0.7255201598683437,0.8503937007874016,0.7417218543046358,0.7659574468085106,0.14901960784313728,0.22572815533980584,0.7333333333333333,0.5242718446601942,0.6527777777777778,0.7051282051282052,0 days 00:00:18.922898
73,0.5765141790359569,0.6806159633243212,0.8378378378378378,0.6721854304635762,0.6595744680851063,0.35,0.2277432712215321,0.5,0.3913043478260869,0.6180555555555556,0.5740740740740741,0 days 00:00:04.363867
74,0.5962266277391601,0.7393061922860913,0.8535353535353535,0.7632450331125827,0.7990543735224587,0.12401960784313726,0.15776699029126218,0.7583333333333333,0.5922330097087378,0.6569444444444444,0.7115384615384616,0 days 00:00:04.897001
75,0.6466281324564053,0.7448571764429294,0.8663101604278075,0.7533112582781457,0.7659574468085106,0.21568627450980393,0.28398058252427183,0.6666666666666666,0.46601941747572817,0.6986111111111111,0.6956521739130435,0 days 00:00:08.144404
76,0.5939951793682828,0.7467967556130246,0.8571428571428571,0.7715231788079471,0.8085106382978723,0.2245098039215686,0.3048543689320389,0.7166666666666667,0.49514563106796117,0.6916666666666667,0.7391304347826086,0 days 00:00:08.324466
77,0.6136255642157025,0.7405012865222105,0.8578811369509044,0.7582781456953642,0.7848699763593381,0.27450980392156865,0.31456310679611654,0.6666666666666666,0.4854368932038835,0.6710526315789473,0.6956521739130435,0 days 00:00:02.470797
78,0.5918894473697166,0.7456147225160978,0.8567839195979899,0.7698675496688742,0.806146572104019,0.1780701754385965,0.2826321467098166,0.7166666666666667,0.49514563106796117,0.6916666666666667,0.7391304347826086,0 days 00:00:02.956845
79,0.5806517921042662,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:05.655194
80,0.574174758625024,0.6809882057913091,0.8314285714285714,0.6837748344370861,0.6879432624113475,0.3403508771929825,0.2060409924487595,0.5263157894736842,0.4444444444444444,0.6208333333333333,0.5925925925925926,0 days 00:00:00.938487
81,0.5604002870801382,0.7400637383592596,0.8452380952380952,0.7798013245033113,0.8392434988179669,0.1633986928104575,0.19805825242718456,0.7777777777777778,0.6019417475728155,0.6529605263157895,0.7407407407407407,0 days 00:00:04.456456
82,0.6670512943730108,0.7515771325575016,0.8760330578512396,0.7516556291390728,0.75177304964539,0.29117647058823526,0.3631067961165049,0.65,0.4368932038834952,0.6722222222222223,0.6956521739130435,0 days 00:00:05.661232
83,0.6625602448072938,0.7444849339759414,0.8739495798319328,0.7417218543046358,0.7375886524822695,0.2712418300653594,0.2936893203883495,0.6111111111111112,0.4563106796116505,0.6875,0.6956521739130435,0 days 00:00:01.803929
84,0.6611741680936696,0.7425061713882685,0.8701657458563536,0.7433774834437086,0.7446808510638298,0.2712418300653594,0.28398058252427183,0.6111111111111112,0.46601941747572817,0.6958333333333333,0.6956521739130435,0 days 00:00:04.757500
85,0.5798944630498357,0.7388947664015255,0.8484107579462102,0.7715231788079471,0.8203309692671394,0.1633986928104575,0.22718446601941755,0.7777777777777778,0.5728155339805825,0.6541666666666667,0.7371794871794872,0 days 00:00:03.082397
86,0.6025243866546722,0.7467967556130246,0.8571428571428571,0.7715231788079471,0.8085106382978723,0.2245098039215686,0.31456310679611654,0.7166666666666667,0.4854368932038835,0.6680555555555556,0.7391304347826086,0 days 00:00:05.476738
87,0.5950244356886494,0.7156394080691718,0.8383838383838383,0.7433774834437086,0.7848699763593381,0.11018518518518516,0.10176195613088823,0.7416666666666667,0.6019417475728155,0.6347222222222222,0.6923076923076923,0 days 00:00:06.792412
88,0.600281701351141,0.7322270548437235,0.8552631578947368,0.7466887417218543,0.7683215130023641,0.16013071895424835,0.19660194174757284,0.7222222222222222,0.5533980582524272,0.6583333333333333,0.6987179487179487,0 days 00:00:01.688122
89,0.5762797313009422,0.7026109217245928,0.8271604938271605,0.7384105960264901,0.7919621749408984,0.18333333333333335,0.07475083056478404,0.7333333333333333,0.6395348837209303,0.6444444444444444,0.6923076923076923,0 days 00:00:21.180323
90,0.5780568249976865,0.6754241604952784,0.8167539267015707,0.7003311258278145,0.7375886524822695,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:20.172819
91,0.5973473885970916,0.7456147225160978,0.8567839195979899,0.7698675496688742,0.806146572104019,0.1780701754385965,0.2826321467098166,0.7166666666666667,0.49514563106796117,0.6916666666666667,0.7391304347826086,0 days 00:00:07.072062
92,0.574126607820289,0.6809882057913091,0.8314285714285714,0.6837748344370861,0.6879432624113475,0.3403508771929825,0.2060409924487595,0.5263157894736842,0.4444444444444444,0.6208333333333333,0.5925925925925926,0 days 00:00:24.207562
93,0.5765041816338734,0.6806159633243212,0.8378378378378378,0.6721854304635762,0.6595744680851063,0.35,0.2277432712215321,0.5,0.3913043478260869,0.6180555555555556,0.5740740740740741,0 days 00:00:01.417658
94,0.5790174727313451,0.7369290649530451,0.849009900990099,0.7665562913907285,0.8108747044917257,0.21895424836601307,0.2757281553398059,0.7222222222222222,0.5242718446601942,0.65,0.7307692307692307,0 days 00:00:06.013930
95,0.5664927996486935,0.6876297950707261,0.8195488721804511,0.7218543046357616,0.7730496453900709,0.30175438596491233,0.21635610766045554,0.631578947368421,0.5217391304347826,0.5970394736842105,0.6111111111111112,0 days 00:00:00.823755
96,0.610218990398151,0.7412849548737641,0.8567774936061381,0.7615894039735099,0.7919621749408984,0.3300653594771241,0.3048543689320389,0.6111111111111112,0.49514563106796117,0.6833333333333333,0.6521739130434783,0 days 00:00:01.118561
97,0.5752862974264411,0.6766061935922051,0.8172323759791122,0.7019867549668874,0.7399527186761229,0.337719298245614,0.23047699451245252,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:14.367061
98,0.5799447027454102,0.6742421273983517,0.8162729658792651,0.6986754966887417,0.735224586288416,0.32105263157894737,0.22076825664837485,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:24.911471
99,0.5735243736336371,0.6770045583375781,0.8184210526315789,0.7003311258278145,0.735224586288416,0.337719298245614,0.23047699451245252,0.5789473684210527,0.4782608695652174,0.6019736842105263,0.5925925925925926,0 days 00:00:03.455887
100,0.6165215615633826,0.7483902145945169,0.8630490956072352,0.7649006622516556,0.789598108747045,0.22807017543859653,0.2738223660553758,0.6666666666666666,0.4854368932038835,0.71875,0.6956521739130435,0 days 00:00:40.683343
101,0.5811409134950217,0.7420425009469326,0.8481927710843373,0.7781456953642384,0.8321513002364066,0.14117647058823524,0.20776699029126222,0.8,0.5922330097087378,0.65,0.7307692307692307,0 days 00:00:10.252962
102,0.6017790810720577,0.7452163577707247,0.8553615960099751,0.7715231788079471,0.8108747044917257,0.27450980392156865,0.3048543689320389,0.6666666666666666,0.49514563106796117,0.6333333333333333,0.6521739130434783,0 days 00:00:00.690649
103,0.6031916058760427,0.7330237843344696,0.8582887700534759,0.7433774834437086,0.7588652482269503,0.21568627450980393,0.2282608695652174,0.6666666666666666,0.5217391304347826,0.6722222222222223,0.7051282051282052,0 days 00:00:01.896700
104,0.5929597225424423,0.7467967556130246,0.8571428571428571,0.7715231788079471,0.8085106382978723,0.1780701754385965,0.2826321467098166,0.7166666666666667,0.49514563106796117,0.6916666666666667,0.7391304347826086,0 days 00:00:01.863589
105,0.5913920170160056,0.7282825908075703,0.8526315789473684,0.7433774834437086,0.7659574468085106,0.16666666666666663,0.18689320388349517,0.7222222222222222,0.5631067961165048,0.649671052631579,0.6851851851851852,0 days 00:00:20.466005
106,0.6201195613176064,0.7405012865222105,0.8578811369509044,0.7582781456953642,0.7848699763593381,0.27450980392156865,0.31456310679611654,0.6666666666666666,0.4854368932038835,0.6710526315789473,0.6956521739130435,0 days 00:00:01.414917
107,0.58235839114089,0.719583872105325,0.8409090909090909,0.7466887417218543,0.7872340425531915,0.16666666666666663,0.18478260869565222,0.7222222222222222,0.5652173913043478,0.6305555555555555,0.6851851851851852,0 days 00:00:00.458649
