number,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:16.040534,0.013823880829235346,10,139.2353900422694,5000,42,24.243149707074473
1,0 days 00:00:04.371143,0.0760089831171528,15,50.53485174494718,5000,15,9.2227664490435
2,0 days 00:00:37.252308,0.004739954384961919,16,2.711715742940482,5000,42,1.7958591744174306
3,0 days 00:00:08.033873,0.033170112183818365,19,0.05521987065233693,5000,16,7.024885846859905
4,0 days 00:00:14.780406,0.012406050354737857,8,149.3056831009548,5000,12,11.451705402239181
5,0 days 00:00:28.398598,0.008848430661452954,3,3.4684533457870548,5000,10,35.99573156407723
6,0 days 00:00:34.207275,0.004359034587975813,12,1.396966523905285,5000,16,0.001749869793759617
7,0 days 00:00:38.754256,0.0035803447223958025,10,1.3189448275616165,5000,59,0.01765259366447623
8,0 days 00:00:05.569871,0.04947276403587725,3,16.19034359450456,5000,43,0.24604519764081317
9,0 days 00:03:11.230235,0.0010040691863860641,14,0.15398820983309616,5000,38,611.6927688244626
10,0 days 00:00:06.896047,0.02475146665373315,9,101.57191913198078,5000,45,0.027688344389639
11,0 days 00:00:19.350024,0.009581889072646644,19,0.011324939806189692,5000,16,2.264526420989476
12,0 days 00:01:55.575551,0.003825045325217189,11,717.1407215347932,5000,36,59.352134403861534
13,0 days 00:00:08.463861,0.03004313278942813,14,0.007540485870999003,5000,91,8.251934347461457
14,0 days 00:00:10.867322,0.014818980738638902,18,1.6197785512286598,5000,20,0.0060979921906356175
15,0 days 00:00:38.873045,0.010060584281795366,4,0.005232292764917973,5000,15,288.62360176618404
16,0 days 00:01:25.463426,0.0014697154060240708,8,0.35647106837376374,5000,55,0.03560110282149415
17,0 days 00:00:16.377286,0.009775796792258491,19,0.4483494541263092,5000,87,1.9304421367139804
18,0 days 00:01:01.901034,0.0022036999942590635,15,15.020788248040711,5000,76,0.018705026091557126
19,0 days 00:00:29.930420,0.022129452545356337,15,0.18186326900861605,5000,33,702.5739568618227
20,0 days 00:01:48.156524,0.0027193150703652626,2,2.010904508472726,5000,62,0.0013529576503932695
21,0 days 00:00:04.284280,0.050877020027211874,12,220.4214031164817,5000,11,0.8604586191409282
22,0 days 00:00:31.529219,0.004203229000497717,15,0.17336253285480888,5000,35,0.8393834778655227
23,0 days 00:00:10.472792,0.011122971651786601,10,100.41504237870404,5000,63,0.008580755617864949
24,0 days 00:01:47.004409,0.0011947791002133016,13,0.06718532453185455,5000,73,0.019877036719792972
25,0 days 00:00:29.937871,0.00539692665744678,9,261.69959670405524,5000,24,19.58929295081131
26,0 days 00:00:06.650170,0.14341491410188495,19,0.00686262597421799,5000,42,922.5207979262901
27,0 days 00:00:46.809813,0.00795679057712655,2,217.337916918421,5000,91,68.5786132788549
28,0 days 00:00:35.148235,0.003889309923578628,9,0.06882264124942714,5000,13,7.15534243273755
29,0 days 00:00:09.510120,0.05226545572524643,5,0.012467929636523429,5000,15,775.9225445278645
30,0 days 00:00:17.064823,0.06411737757380688,4,904.0037935642878,5000,10,353.2354287407536
31,0 days 00:00:41.679347,0.00356566274213606,15,2.9898868563190155,5000,13,0.05317996446691457
32,0 days 00:01:46.725026,0.0012548014470034378,5,0.001188495692868355,5000,21,0.01855318536888044
33,0 days 00:02:05.442816,0.0011734008018817828,4,0.004426734672948542,5000,27,1.1670251832012972
34,0 days 00:00:02.660455,0.07517096822487453,6,0.0266192761956694,5000,34,0.13884291796427198
35,0 days 00:00:05.002052,0.035578329567530494,8,23.59740132911737,5000,49,0.8157101297574585
36,0 days 00:01:18.651568,0.0018744900697875294,7,267.3978821731098,5000,12,2.4211597899340536
37,0 days 00:00:19.165719,0.0077288854546941925,13,0.007973424136403798,5000,10,4.151828192904821
38,0 days 00:00:16.331773,0.01273975451434207,4,0.04470909172926446,5000,17,22.227525017605128
39,0 days 00:00:12.215136,0.03427061006721712,19,4.977818363342631,5000,21,187.00620283745408
40,0 days 00:00:02.374116,0.10896242427726838,11,48.304094163072804,5000,47,0.00465228692868126
41,0 days 00:00:03.909527,0.096494201319844,14,0.7448271777073326,5000,10,13.545155541549926
42,0 days 00:00:05.189266,0.030813333009973316,5,0.3735207394909206,5000,25,0.04952347502129392
43,0 days 00:01:06.057420,0.0023949131133837176,12,0.0032284699771827326,5000,33,0.21361350662570977
44,0 days 00:00:07.467324,0.05792396280238287,10,0.48645967389527384,5000,86,75.91931010154062
45,0 days 00:00:02.364580,0.10896824620784469,7,125.97269265166635,5000,99,1.0721927297606668
46,0 days 00:00:08.289545,0.02247578949670582,19,1.6280534358019347,5000,27,0.05616440934492147
47,0 days 00:00:05.473236,0.051333202123525185,12,0.0057792399161953854,5000,15,66.87895440889814
48,0 days 00:01:13.657883,0.0015445890803523674,6,0.8317141442901661,5000,18,0.007242953592413835
49,0 days 00:01:03.658979,0.002374752036941015,7,0.013836987424212948,5000,52,0.003577923985648565
